customer_id,first_name,last_name,email,city,state,signup_date
1001,Aarav,Patel,aarav.patel@example.com,Delhi,MH,2025-01-20
1002,Isha,Sharma,isha.sharma@example.com,Chennai,MH,2024-12-10
1003,Vivaan,Iyer,vivaan.iyer@example.com,Ahmedabad,TS,2024-12-13
1004,Diya,Khan,diya.khan@example.com,Delhi,TS,2024-12-08
1005,Aditya,Mehta,aditya.mehta@example.com,Hyderabad,MH,2024-12-05
1006,Anaya,Gupta,anaya.gupta@example.com,Mumbai,KA,2025-01-23
1007,Kabir,Joshi,kabir.joshi@example.com,Mumbai,MH,2024-12-12
1008,Sara,Rao,sara.rao@example.com,Hyderabad,KA,2024-12-08
1009,Arjun,Nair,arjun.nair@example.com,Ahmedabad,TS,2024-12-16
1010,Riya,Kulkarni,riya.kulkarni@example.com,Pune,TN,2025-02-19
1011,Atharv,Desai,atharv.desai@example.com,Hyderabad,MH,2025-02-12
1012,Kiara,Bose,kiara.bose@example.com,Hyderabad,KA,2024-12-07
1013,Dev,Shetty,dev.shetty@example.com,Pune,MH,2025-02-10
1014,Meera,Menon,meera.menon@example.com,Ahmedabad,MH,2025-01-07
1015,Reyansh,Chatterjee,reyansh.chatterjee@example.com,Bengaluru,MH,2025-02-08
